x,y,yaw,s,kappa,v_ref
52.0100,-11.0357,0.37150,25.5000,0.10931,1.500
52.2176,-10.9519,0.39633,25.7500,0.11107,1.500
52.4239,-10.8625,0.42163,26.0000,0.11216,1.500
52.6289,-10.7673,0.44722,26.2500,0.11249,1.500
52.8327,-10.6664,0.47294,26.5000,0.11203,1.500
53.0352,-10.5594,0.49864,26.7500,0.11082,1.500
53.2365,-10.4464,0.52417,27.0000,0.10891,1.500
53.4367,-10.3273,0.54939,27.2500,0.10637,1.500
53.6356,-10.2021,0.57417,27.5000,0.10328,1.500
53.8334,-10.0707,0.59839,27.7500,0.09971,1.500
54.0301,-9.9331,0.62193,28.0000,0.09573,1.500
54.2258,-9.7895,0.64472,28.2500,0.09142,1.500
54.4204,-9.6397,0.66667,28.5000,0.08686,1.500
54.6140,-9.4841,0.68770,28.7500,0.08211,1.500
54.8066,-9.3225,0.70775,29.0000,0.07722,1.500
54.9983,-9.1552,0.72678,29.2500,0.07226,1.500
55.1892,-8.9824,0.74475,29.5000,0.06726,1.500
55.3793,-8.8041,0.76162,29.7500,0.06226,1.500
55.5687,-8.6207,0.77736,30.0000,0.05728,1.500
55.7573,-8.4322,0.79196,30.2500,0.05235,1.500
55.9454,-8.2391,0.80540,30.5000,0.04747,1.500
56.1329,-8.0415,0.81765,30.7500,0.04266,1.500
56.3199,-7.8397,0.82871,31.0000,0.03791,1.500
56.5065,-7.6342,0.83857,31.2500,0.03321,1.500
56.6927,-7.4251,0.84720,31.5000,0.02855,1.500
56.8787,-7.2130,0.85460,31.7500,0.02393,1.500
57.0645,-6.9981,0.86074,32.0000,0.01930,1.500
57.2503,-6.7809,0.86560,32.2500,0.01466,1.500
57.4360,-6.5619,0.86916,32.5000,0.00997,1.500
57.6218,-6.3415,0.87137,32.7500,0.00518,1.500
57.8078,-6.1201,0.87221,33.0000,0.00027,1.500
57.9941,-5.8984,0.87161,33.2500,-0.00482,1.500
58.1808,-5.6769,0.86952,33.5000,-0.01014,1.500
58.3679,-5.4560,0.86588,33.7500,-0.01575,1.500
58.5556,-5.2365,0.86059,34.0000,-0.02173,1.500
58.7441,-5.0188,0.85356,34.2500,-0.02816,1.500
58.9333,-4.8037,0.84467,34.5000,-0.03508,1.500
59.1235,-4.5918,0.83380,34.7500,-0.04246,1.500
59.3147,-4.3838,0.82081,35.0000,-0.05028,1.500
59.5071,-4.1803,0.80567,35.2500,-0.05849,1.500
59.7007,-3.9820,0.78837,35.5000,-0.06705,1.500
59.8957,-3.7895,0.76889,35.7500,-0.07593,1.500
60.0922,-3.6035,0.74721,36.0000,-0.08520,1.500
60.2901,-3.4244,0.72331,36.2500,-0.09487,1.500
60.4895,-3.2528,0.69715,36.5000,-0.10496,1.500
60.6905,-3.0892,0.66871,36.7500,-0.11548,1.500
60.8931,-2.9341,0.63796,37.0000,-0.12639,1.500
61.0973,-2.7878,0.60489,37.2500,-0.13764,1.500
61.3031,-2.6508,0.56950,37.5000,-0.14914,1.500
61.5104,-2.5234,0.53182,37.7500,-0.16078,1.500
61.7192,-2.4060,0.49189,38.0000,-0.17239,1.500
61.9296,-2.2989,0.44978,38.2500,-0.18379,1.500
62.1413,-2.2023,0.40560,38.5000,-0.19476,1.500
62.3543,-2.1166,0.35949,38.7500,-0.20505,1.500
62.5686,-2.0418,0.31162,39.0000,-0.21441,1.500
62.7840,-1.9782,0.26222,39.2500,-0.22000,1.500
63.0005,-1.9259,0.21152,39.5000,-0.22000,1.500
63.2178,-1.8851,0.15982,39.7500,-0.22000,1.500
63.4358,-1.8557,0.10741,40.0000,-0.22000,1.500
63.6545,-1.8380,0.05459,40.2500,-0.22000,1.500
63.8735,-1.8318,0.00170,40.5000,-0.22000,1.500
64.0927,-1.8372,-0.05098,40.7500,-0.22000,1.500
64.3119,-1.8542,-0.10315,41.0000,-0.22000,1.500
64.5310,-1.8826,-0.15456,41.2500,-0.22000,1.500
64.7496,-1.9223,-0.20498,41.5000,-0.22000,1.500
64.9675,-1.9733,-0.25424,41.7500,-0.21573,1.500
65.1845,-2.0353,-0.30218,42.0000,-0.20807,1.500
65.4002,-2.1082,-0.34871,42.2500,-0.20001,1.500
65.6145,-2.1916,-0.39377,42.5000,-0.19180,1.500
65.8270,-2.2854,-0.43733,42.7500,-0.18363,1.500
66.0374,-2.3893,-0.47940,43.0000,-0.17568,1.500
66.2453,-2.5028,-0.52001,43.2500,-0.16811,1.500
66.4505,-2.6257,-0.55923,43.5000,-0.16102,1.500
66.6525,-2.7576,-0.59713,43.7500,-0.15452,1.500
66.8511,-2.8981,-0.63382,44.0000,-0.14869,1.500
67.0458,-3.0466,-0.66941,44.2500,-0.14358,1.500
67.2362,-3.2027,-0.70401,44.5000,-0.13929,1.500
67.4219,-3.3660,-0.73779,44.7500,-0.13586,1.500
67.6026,-3.5358,-0.77090,45.0000,-0.13330,1.500
67.7777,-3.7116,-0.80354,45.2500,-0.13164,1.500
67.9470,-3.8929,-0.83587,45.5000,-0.13083,1.500
68.1101,-4.0792,-0.86806,45.7500,-0.13084,1.500
68.2665,-4.2701,-0.90025,46.0000,-0.13162,1.500
68.4161,-4.4650,-0.93259,46.2500,-0.13313,1.500
68.5584,-4.6636,-0.96520,46.5000,-0.13535,1.500
68.6932,-4.8653,-0.99821,46.7500,-0.13827,1.500
68.8202,-5.0697,-1.03174,47.0000,-0.14186,1.500
68.9391,-5.2764,-1.06591,47.2500,-0.14611,1.500
69.0497,-5.4850,-1.10082,47.5000,-0.15101,1.500
69.1518,-5.6952,-1.13659,47.7500,-0.15653,1.500
69.2451,-5.9064,-1.17330,48.0000,-0.16266,1.500
69.3295,-6.1184,-1.21104,48.2500,-0.16935,1.500
69.4048,-6.3308,-1.24990,48.5000,-0.17656,1.500
69.4707,-6.5433,-1.28994,48.7500,-0.18421,1.500
69.5273,-6.7556,-1.33120,49.0000,-0.19224,1.500
69.5743,-6.9673,-1.37373,49.2500,-0.20051,1.500
69.6116,-7.1781,-1.41755,49.5000,-0.20891,1.500
69.6392,-7.3878,-1.46264,49.7500,-0.21728,1.500
69.6570,-7.5960,-1.50898,50.0000,-0.22000,1.500
69.6649,-7.8026,-1.55650,50.2500,-0.22000,1.500
69.6629,-8.0073,-1.60512,50.5000,-0.22000,1.500
69.6509,-8.2098,-1.65472,50.7500,-0.22000,1.500
69.6290,-8.4099,-1.70514,51.0000,-0.22000,1.500
69.5971,-8.6075,-1.75620,51.2500,-0.22000,1.500
69.5554,-8.8023,-1.80771,51.5000,-0.22000,1.500
69.5038,-8.9942,-1.85943,51.7500,-0.22000,1.500
69.4424,-9.1830,-1.91113,52.0000,-0.22000,1.500
69.3713,-9.3685,-1.96255,52.2500,-0.22000,1.500
69.2905,-9.5506,-2.01346,52.5000,-0.22000,1.500
69.2003,-9.7292,-2.06361,52.7500,-0.22000,1.500
69.1007,-9.9042,-2.11278,53.0000,-0.22000,1.500
68.9918,-10.0755,-2.16075,53.2500,-0.22000,1.500
68.8739,-10.2429,-2.20735,53.5000,-0.22000,1.500
68.7472,-10.4065,-2.25243,53.7500,-0.21216,1.500
68.6117,-10.5662,-2.29586,54.0000,-0.20172,1.500
68.4678,-10.7219,-2.33753,54.2500,-0.19094,1.500
68.3157,-10.8735,-2.37739,54.5000,-0.17999,1.500
68.1556,-11.0212,-2.41537,54.7500,-0.16905,1.500
67.9878,-11.1648,-2.45146,55.0000,-0.15824,1.500
67.8126,-11.3044,-2.48566,55.2500,-0.14772,1.500
67.6303,-11.4401,-2.51795,55.5000,-0.13765,1.500
67.4412,-11.5717,-2.54840,55.7500,-0.12816,1.500
67.2456,-11.6995,-2.57711,56.0000,-0.11932,1.500
