x,y,yaw,s,kappa,v_ref
15.1967,-12.8508,-3.22733,108.0000,0.00200,1.500
14.9581,-12.8304,-3.22676,108.2500,0.00279,1.500
14.7197,-12.8101,-3.22600,108.5000,0.00361,1.500
14.4813,-12.7901,-3.22504,108.7500,0.00445,1.500
14.2429,-12.7703,-3.22388,109.0000,0.00531,1.500
14.0046,-12.7508,-3.22251,109.2500,0.00619,1.500
13.7662,-12.7316,-3.22093,109.5000,0.00709,1.500
13.5278,-12.7129,-3.21913,109.7500,0.00801,1.500
13.2894,-12.6946,-3.21710,110.0000,0.00895,1.500
13.0508,-12.6768,-3.21485,110.2500,0.00990,1.500
12.8121,-12.6596,-3.21237,110.5000,0.01085,1.500
12.5733,-12.6430,-3.20966,110.7500,0.01179,1.500
12.3342,-12.6270,-3.20671,111.0000,0.01270,1.500
12.0950,-12.6118,-3.20355,111.2500,0.01357,1.500
11.8555,-12.5973,-3.20018,111.5000,0.01439,1.500
11.6157,-12.5837,-3.19662,111.7500,0.01515,1.500
11.3756,-12.5709,-3.19288,112.0000,0.01586,1.500
11.1352,-12.5591,-3.18896,112.2500,0.01652,1.500
10.8945,-12.5481,-3.18490,112.5000,0.01712,1.500
10.6533,-12.5382,-3.18069,112.7500,0.01766,1.500
10.4118,-12.5293,-3.17634,113.0000,0.01816,1.500
10.1698,-12.5214,-3.17188,113.2500,0.01859,1.500
9.9274,-12.5146,-3.16731,113.5000,0.01898,1.500
9.6846,-12.5089,-3.16265,113.7500,0.01931,1.500
9.4412,-12.5044,-3.15790,114.0000,0.01959,1.500
9.1974,-12.5010,-3.15308,114.2500,0.01982,1.500
8.9531,-12.4988,-3.14820,114.5000,0.02000,1.500
8.7082,-12.4978,-3.14328,114.7500,0.02013,1.500
8.4628,-12.4979,-3.13832,115.0000,0.02020,1.500
8.2168,-12.4994,-3.13333,115.2500,0.02024,1.500
7.9703,-12.5020,-3.12833,115.5000,0.02022,1.500
7.7232,-12.5059,-3.12333,115.7500,0.02016,1.500
7.4755,-12.5111,-3.11833,116.0000,0.02006,1.500
7.2272,-12.5175,-3.11336,116.2500,0.01991,1.500
6.9783,-12.5251,-3.10841,116.5000,0.01972,1.500
6.7288,-12.5340,-3.10350,116.7500,0.01949,1.500
6.4786,-12.5441,-3.09865,117.0000,0.01923,1.500
6.2279,-12.5555,-3.09385,117.2500,0.01892,1.500
5.9765,-12.5681,-3.08912,117.5000,0.01858,1.500
5.7245,-12.5820,-3.08447,117.7500,0.01820,1.500
5.4719,-12.5970,-3.07991,118.0000,0.01779,1.500
5.2186,-12.6132,-3.07544,118.2500,0.01734,1.500
4.9648,-12.6306,-3.07108,118.5000,0.01687,1.500
4.7103,-12.6491,-3.06683,118.7500,0.01636,1.500
4.4551,-12.6687,-3.06271,119.0000,0.01583,1.500
4.1994,-12.6895,-3.05871,119.2500,0.01526,1.500
3.9430,-12.7113,-3.05485,119.5000,0.01467,1.500
3.6860,-12.7341,-3.05114,119.7500,0.01405,1.500
3.4284,-12.7579,-3.04758,120.0000,0.01341,1.500
3.1703,-12.7827,-3.04418,120.2500,0.01274,1.500
2.9115,-12.8084,-3.04096,120.5000,0.01204,1.500
2.6522,-12.8350,-3.03790,120.7500,0.01133,1.500
2.3923,-12.8624,-3.03503,121.0000,0.01058,1.500
2.1318,-12.8907,-3.03235,121.2500,0.00982,1.500
1.8709,-12.9196,-3.02987,121.5000,0.00903,1.500
1.6093,-12.9493,-3.02760,121.7500,0.00822,1.500
1.3473,-12.9795,-3.02553,122.0000,0.00739,1.500
1.0848,-13.0104,-3.02368,122.2500,0.00654,1.500
0.8219,-13.0418,-3.02206,122.5000,0.00566,1.500
0.5584,-13.0736,-3.02067,122.7500,0.00476,1.500
0.2946,-13.1058,-3.01952,123.0000,0.00384,1.500
0.0303,-13.1384,-3.01862,123.2500,0.00289,1.500
-0.2344,-13.1712,-3.01797,123.5000,0.00192,1.500
-0.4994,-13.2042,-3.01758,123.7500,0.00093,1.500
-0.7648,-13.2373,-3.01746,124.0000,-0.00009,1.500
-1.0305,-13.2704,-3.01762,124.2500,-0.00114,1.500
-1.2965,-13.3035,-3.01806,124.5000,-0.00221,1.500
-1.5628,-13.3365,-3.01879,124.7500,-0.00332,1.500
-1.8293,-13.3692,-3.01982,125.0000,-0.00445,1.500
-2.0960,-13.4017,-3.02117,125.2500,-0.00561,1.500
-2.3629,-13.4338,-3.02283,125.5000,-0.00681,1.500
-2.6300,-13.4654,-3.02481,125.7500,-0.00804,1.500
-2.8971,-13.4964,-3.02714,126.0000,-0.00931,1.500
-3.1644,-13.5268,-3.02981,126.2500,-0.01062,1.500
-3.4317,-13.5564,-3.03283,126.5000,-0.01197,1.500
-3.6990,-13.5851,-3.03622,126.7500,-0.01336,1.500
-3.9662,-13.6129,-3.03999,127.0000,-0.01480,1.500
-4.2334,-13.6396,-3.04415,127.2500,-0.01628,1.500
-4.5006,-13.6651,-3.04871,127.5000,-0.01781,1.500
-4.7675,-13.6893,-3.05368,127.7500,-0.01940,1.500
-5.0343,-13.7121,-3.05908,128.0000,-0.02104,1.500
-5.3009,-13.7334,-3.06492,128.2500,-0.02274,1.500
-5.5672,-13.7530,-3.07121,128.5000,-0.02450,1.500
-5.8332,-13.7709,-3.07796,128.7500,-0.02633,1.500
-6.0988,-13.7868,-3.08520,129.0000,-0.02823,1.500
-6.3640,-13.8008,-3.09294,129.2500,-0.03019,1.500
-6.6288,-13.8126,-3.10119,129.5000,-0.03223,1.500
-6.8931,-13.8221,-3.10997,129.7500,-0.03434,1.500
-7.1568,-13.8293,-3.11930,130.0000,-0.03654,1.500
-7.4200,-13.8338,-3.12919,130.2500,-0.03881,1.500
-7.6824,-13.8357,-3.13966,130.5000,-0.04118,1.500
-7.9442,-13.8348,-3.15074,130.7500,-0.04362,1.500
-8.2052,-13.8309,-3.16243,131.0000,-0.04616,1.500
-8.4655,-13.8239,-3.17476,131.2500,-0.04878,1.500
-8.7248,-13.8136,-3.18775,131.5000,-0.05145,1.500
-8.9833,-13.7999,-3.20141,131.7500,-0.05416,1.500
-9.2407,-13.7827,-3.21575,132.0000,-0.05685,1.500
-9.4971,-13.7617,-3.23074,132.2500,-0.05950,1.500
-9.7524,-13.7369,-3.24635,132.5000,-0.06207,1.500
-10.0066,-13.7081,-3.26257,132.7500,-0.06455,1.500
-10.2594,-13.6752,-3.27936,133.0000,-0.06695,1.500
-10.5110,-13.6381,-3.29670,133.2500,-0.06926,1.500
-10.7612,-13.5967,-3.31458,133.5000,-0.07148,1.500
-11.0100,-13.5509,-3.33295,133.7500,-0.07360,1.500
-11.2571,-13.5006,-3.35180,134.0000,-0.07562,1.500
-11.5027,-13.4457,-3.37109,134.2500,-0.07754,1.500
-11.7465,-13.3862,-3.39081,134.5000,-0.07936,1.500
-11.9886,-13.3220,-3.41093,134.7500,-0.08108,1.500
-12.2287,-13.2531,-3.43142,135.0000,-0.08270,1.500
-12.4669,-13.1794,-3.45225,135.2500,-0.08422,1.500
-12.7030,-13.1008,-3.47341,135.5000,-0.08564,1.500
-12.9369,-13.0174,-3.49486,135.7500,-0.08696,1.500
-13.1684,-12.9292,-3.51659,136.0000,-0.08819,1.500
-13.3977,-12.8360,-3.53858,136.2500,-0.08933,1.500
-13.6243,-12.7380,-3.56079,136.5000,-0.09039,1.500
-13.8484,-12.6352,-3.58322,136.7500,-0.09137,1.500
-14.0698,-12.5274,-3.60584,137.0000,-0.09228,1.500
-14.2883,-12.4149,-3.62864,137.2500,-0.09313,1.500
-14.5038,-12.2976,-3.65161,137.5000,-0.09392,1.500
-14.7163,-12.1755,-3.67472,137.7500,-0.09467,1.500
-14.9255,-12.0487,-3.69798,138.0000,-0.09539,1.500
-15.1314,-11.9173,-3.72137,138.2500,-0.09609,1.500
-15.3338,-11.7813,-3.74488,138.5000,-0.09678,1.500
-15.5326,-11.6409,-3.76852,138.7500,-0.09747,1.500
-15.7276,-11.4960,-3.79229,139.0000,-0.09818,1.500
-15.9188,-11.3469,-3.81617,139.2500,-0.09892,1.500
-16.1059,-11.1935,-3.84019,139.5000,-0.09971,1.500
-16.2889,-11.0360,-3.86435,139.7500,-0.10056,1.500
-16.4675,-10.8746,-3.88865,140.0000,-0.10149,1.500
-16.6417,-10.7093,-3.91311,140.2500,-0.10252,1.500
-16.8112,-10.5403,-3.93776,140.5000,-0.10366,1.500
-16.9760,-10.3677,-3.96260,140.7500,-0.10494,1.500
-17.1358,-10.1918,-3.98768,141.0000,-0.10637,1.500
-17.2904,-10.0125,-4.01300,141.2500,-0.10799,1.500
-17.4399,-9.8302,-4.03861,141.5000,-0.10981,1.500
-17.5838,-9.6451,-4.06455,141.7500,-0.11186,1.500
-17.7222,-9.4572,-4.09085,142.0000,-0.11417,1.500
-17.8548,-9.2668,-4.11757,142.2500,-0.11677,1.500
-17.9814,-9.0741,-4.14474,142.5000,-0.11969,1.500
-18.1019,-8.8792,-4.17244,142.7500,-0.12299,1.500
-18.2160,-8.6826,-4.20072,143.0000,-0.12668,1.500
-18.3236,-8.4843,-4.22966,143.2500,-0.13083,1.500
-18.4246,-8.2846,-4.25933,143.5000,-0.13547,1.500
-18.5186,-8.0837,-4.28981,143.7500,-0.14067,1.500
-18.6056,-7.8820,-4.32120,144.0000,-0.14647,1.500
-18.6853,-7.6796,-4.35360,144.2500,-0.15296,1.500
-18.7575,-7.4769,-4.38711,144.5000,-0.16018,1.500
-18.8220,-7.2741,-4.42186,144.7500,-0.16821,1.500
-18.8787,-7.0715,-4.45797,145.0000,-0.17711,1.500
-18.9272,-6.8694,-4.49558,145.2500,-0.18696,1.500
-18.9674,-6.6682,-4.53483,145.5000,-0.19773,1.500
-18.9992,-6.4681,-4.57587,145.7500,-0.20932,1.500
-19.0222,-6.2695,-4.61883,146.0000,-0.22000,1.500
-19.0362,-6.0726,-4.66375,146.2500,-0.22000,1.500
-19.0412,-5.8779,-4.71065,146.5000,-0.22000,1.500
-19.0368,-5.6854,-4.75948,146.7500,-0.22000,1.500
-19.0231,-5.4956,-4.81018,147.0000,-0.22000,1.500
-18.9998,-5.3087,-4.86261,147.2500,-0.22000,1.500
-18.9669,-5.1248,-4.91660,147.5000,-0.22000,1.500
-18.9243,-4.9443,-4.97191,147.7500,-0.22000,1.500
-18.8719,-4.7672,-5.02824,148.0000,-0.22000,1.500
-18.8098,-4.5938,-5.08527,148.2500,-0.22000,1.500
-18.7377,-4.4242,-5.14263,148.5000,-0.22000,1.500
-18.6559,-4.2585,-5.19991,148.7500,-0.22000,1.500
-18.5642,-4.0970,-5.25673,149.0000,-0.22000,1.500
-18.4628,-3.9396,-5.31269,149.2500,-0.22000,1.500
-18.3517,-3.7865,-5.36743,149.5000,-0.22000,1.500
-18.2310,-3.6377,-5.42062,149.7500,-0.22000,1.500
-18.1007,-3.4934,-5.47199,150.0000,-0.22000,1.500
-17.9610,-3.3535,-5.52130,150.2500,-0.22000,1.500
-17.8121,-3.2180,-5.56838,150.5000,-0.22000,1.500
-17.6541,-3.0871,-5.61310,150.7500,-0.21001,1.500
-17.4872,-2.9605,-5.65539,151.0000,-0.19435,1.500
-17.3116,-2.8384,-5.69521,151.2500,-0.17901,1.500
-17.1275,-2.7206,-5.73256,151.5000,-0.16419,1.500
-16.9352,-2.6072,-5.76746,151.7500,-0.15003,1.500
-16.7348,-2.4980,-5.79996,152.0000,-0.13661,1.500
-16.5268,-2.3928,-5.83011,152.2500,-0.12399,1.500
-16.3114,-2.2917,-5.85800,152.5000,-0.11218,1.500
-16.0889,-2.1945,-5.88369,152.7500,-0.10115,1.500
-15.8597,-2.1009,-5.90726,153.0000,-0.09088,1.500
-15.6242,-2.0109,-5.92878,153.2500,-0.08136,1.500
-15.3827,-1.9243,-5.94832,153.5000,-0.07263,1.500
-15.1356,-1.8408,-5.96598,153.7500,-0.06471,1.500
-14.8833,-1.7602,-5.98192,154.0000,-0.05760,1.500
-14.6263,-1.6824,-5.99630,154.2500,-0.05130,1.500
-14.3649,-1.6072,-6.00930,154.5000,-0.04577,1.500
-14.0995,-1.5343,-6.02104,154.7500,-0.04089,1.500
-13.8305,-1.4637,-6.03165,155.0000,-0.03660,1.500
-13.5582,-1.3952,-6.04125,155.2500,-0.03282,1.500
-13.2830,-1.3285,-6.04995,155.5000,-0.02948,1.500
-13.0052,-1.2637,-6.05782,155.7500,-0.02655,1.500
-12.7251,-1.2006,-6.06497,156.0000,-0.02396,1.500
-12.4432,-1.1390,-6.07147,156.2500,-0.02170,1.500
-12.1595,-1.0790,-6.07738,156.5000,-0.01972,1.500
-11.8746,-1.0203,-6.08279,156.7500,-0.01800,1.500
-11.5886,-0.9630,-6.08775,157.0000,-0.01653,1.500
-11.3018,-0.9069,-6.09233,157.2500,-0.01527,1.500
-11.0146,-0.8520,-6.09658,157.5000,-0.01423,1.500
-10.7270,-0.7983,-6.10056,157.7500,-0.01339,1.500
-10.4395,-0.7458,-6.10432,158.0000,-0.01274,1.500
-10.1522,-0.6944,-6.10792,158.2500,-0.01228,1.500
-9.8653,-0.6441,-6.11140,158.5000,-0.01201,1.500
-9.5791,-0.5949,-6.11481,158.7500,-0.01192,1.500
-9.2937,-0.5469,-6.11822,159.0000,-0.01201,1.500
-9.0094,-0.5001,-6.12166,159.2500,-0.01230,1.500
-8.7263,-0.4545,-6.12519,159.5000,-0.01278,1.500
-8.4446,-0.4101,-6.12887,159.7500,-0.01346,1.500
-8.1645,-0.3671,-6.13275,160.0000,-0.01435,1.500
-7.8862,-0.3255,-6.13687,160.2500,-0.01547,1.500
-7.6096,-0.2854,-6.14131,160.5000,-0.01683,1.500
-7.3351,-0.2468,-6.14612,160.7500,-0.01843,1.500
-7.0627,-0.2100,-6.15136,161.0000,-0.02030,1.500
-6.7924,-0.1749,-6.15710,161.2500,-0.02246,1.500
-6.5245,-0.1418,-6.16340,161.5000,-0.02492,1.500
-6.2590,-0.1107,-6.17034,161.7500,-0.02771,1.500
-5.9960,-0.0819,-6.17798,162.0000,-0.03085,1.500
-5.7355,-0.0555,-6.18641,162.2500,-0.03437,1.500
-5.4776,-0.0317,-6.19570,162.5000,-0.03827,1.500
-5.2224,-0.0106,-6.20594,162.7500,-0.04260,1.500
-4.9699,0.0076,-6.21720,163.0000,-0.04737,1.500
-4.7201,0.0225,-6.22958,163.2500,-0.05260,1.500
-4.4730,0.0341,-6.24317,163.5000,-0.05829,1.500
-4.2286,0.0421,-6.25805,163.7500,-0.06435,1.500
-3.9870,0.0463,-6.27431,164.0000,-0.07071,1.500
-3.7480,0.0463,-6.29197,164.2500,-0.07724,1.500
-3.5118,0.0420,-6.31100,164.5000,-0.08383,1.500
-3.2783,0.0332,-6.33138,164.7500,-0.09036,1.500
-3.0474,0.0196,-6.35305,165.0000,-0.09676,1.500
-2.8191,0.0010,-6.37598,165.2500,-0.10297,1.500
-2.5935,-0.0227,-6.40008,165.5000,-0.10892,1.500
-2.3705,-0.0517,-6.42530,165.7500,-0.11454,1.500
-2.1500,-0.0862,-6.45155,166.0000,-0.11975,1.500
-1.9321,-0.1263,-6.47873,166.2500,-0.12447,1.500
-1.7167,-0.1721,-6.50674,166.5000,-0.12864,1.500
-1.5038,-0.2237,-6.53547,166.7500,-0.13218,1.500
-1.2934,-0.2812,-6.56479,167.0000,-0.13503,1.500
-1.0854,-0.3448,-6.59456,167.2500,-0.13716,1.500
-0.8798,-0.4144,-6.62467,167.5000,-0.13854,1.500
-0.6766,-0.4901,-6.65497,167.7500,-0.13913,1.500
-0.4756,-0.5720,-6.68532,168.0000,-0.13896,1.500
-0.2770,-0.6600,-6.71559,168.2500,-0.13802,1.500
-0.0807,-0.7543,-6.74563,168.5000,-0.13636,1.500
0.1135,-0.8547,-6.77534,168.7500,-0.13403,1.500
0.3054,-0.9612,-6.80458,169.0000,-0.13107,1.500
0.4952,-1.0739,-6.83326,169.2500,-0.12756,1.500
0.6830,-1.1927,-6.86126,169.5000,-0.12357,1.500
0.8686,-1.3175,-6.88850,169.7500,-0.11917,1.500
1.0523,-1.4483,-6.91490,170.0000,-0.11444,1.500
1.2340,-1.5848,-6.94041,170.2500,-0.10946,1.500
1.4138,-1.7272,-6.96495,170.5000,-0.10429,1.500
1.5918,-1.8751,-6.98850,170.7500,-0.09900,1.500
1.7679,-2.0286,-7.01101,171.0000,-0.09364,1.500
1.9423,-2.1874,-7.03245,171.2500,-0.08827,1.500
2.1149,-2.3513,-7.05282,171.5000,-0.08291,1.500
2.2859,-2.5203,-7.07209,171.7500,-0.07761,1.500
2.4553,-2.6941,-7.09027,172.0000,-0.07239,1.500
2.6232,-2.8724,-7.10735,172.2500,-0.06728,1.500
2.7896,-3.0552,-7.12333,172.5000,-0.06227,1.500
2.9546,-3.2421,-7.13821,172.7500,-0.05738,1.500
3.1182,-3.4330,-7.15200,173.0000,-0.05262,1.500
3.2806,-3.6275,-7.16471,173.2500,-0.04797,1.500
3.4417,-3.8253,-7.17634,173.5000,-0.04343,1.500
3.6016,-4.0262,-7.18689,173.7500,-0.03898,1.500
3.7604,-4.2299,-7.19638,174.0000,-0.03462,1.500
3.9182,-4.4361,-7.20479,174.2500,-0.03033,1.500
4.0750,-4.6443,-7.21213,174.5000,-0.02608,1.500
4.2310,-4.8544,-7.21840,174.7500,-0.02187,1.500
4.3861,-5.0658,-7.22358,175.0000,-0.01773,1.500
4.5405,-5.2783,-7.22766,175.2500,-0.01366,1.500
4.6942,-5.4915,-7.23070,175.5000,-0.00967,1.500
4.8473,-5.7049,-7.23270,175.7500,-0.00578,1.500
4.9998,-5.9184,-7.23370,176.0000,-0.00198,1.500
5.1520,-6.1314,-7.23371,176.2500,0.00178,1.500
5.3037,-6.3437,-7.23276,176.5000,0.00551,1.500
5.4552,-6.5549,-7.23085,176.7500,0.00925,1.500
5.6065,-6.7648,-7.22798,177.0000,0.01301,1.500
5.7577,-6.9731,-7.22416,177.2500,0.01681,1.500
5.9088,-7.1795,-7.21939,177.5000,0.02069,1.500
6.0600,-7.3837,-7.21365,177.7500,0.02466,1.500
6.2114,-7.5854,-7.20695,178.0000,0.02873,1.500
6.3629,-7.7845,-7.19928,178.2500,0.03292,1.500
6.5148,-7.9806,-7.19061,178.5000,0.03724,1.500
6.6671,-8.1736,-7.18095,178.7500,0.04170,1.500
6.8200,-8.3633,-7.17027,179.0000,0.04632,1.500
6.9734,-8.5493,-7.15857,179.2500,0.05109,1.500
7.1275,-8.7317,-7.14582,179.5000,0.05602,1.500
7.2824,-8.9101,-7.13202,179.7500,0.06110,1.500
7.4382,-9.0845,-7.11716,180.0000,0.06633,1.500
7.5950,-9.2546,-7.10123,180.2500,0.07167,1.500
7.7529,-9.4203,-7.08423,180.5000,0.07712,1.500
7.9119,-9.5815,-7.06615,180.7500,0.08264,1.500
8.0723,-9.7381,-7.04701,181.0000,0.08819,1.500
8.2341,-9.8900,-7.02682,181.2500,0.09372,1.500
8.3973,-10.0370,-7.00560,181.5000,0.09918,1.500
8.5622,-10.1792,-6.98339,181.7500,0.10449,1.500
8.7289,-10.3163,-6.96023,182.0000,0.10959,1.500
8.8973,-10.4484,-6.93618,182.2500,0.11440,1.500
9.0677,-10.5755,-6.91130,182.5000,0.11882,1.500
9.2402,-10.6974,-6.88567,182.7500,0.12278,1.500
9.4148,-10.8142,-6.85938,183.0000,0.12619,1.500
9.5917,-10.9258,-6.83254,183.2500,0.12897,1.500
9.7710,-11.0322,-6.80526,183.5000,0.13104,1.500
9.9529,-11.1336,-6.77766,183.7500,0.13234,1.500
10.1374,-11.2297,-6.74988,184.0000,0.13284,1.500
10.3246,-11.3208,-6.72206,184.2500,0.13252,1.500
10.5148,-11.4069,-6.69434,184.5000,0.13138,1.500
10.7079,-11.4879,-6.66685,184.7500,0.12947,1.500
10.9041,-11.5641,-6.63972,185.0000,0.12685,1.500
11.1035,-11.6353,-6.61306,185.2500,0.12359,1.500
11.3062,-11.7018,-6.58699,185.5000,0.11978,1.500
11.5123,-11.7635,-6.56159,185.7500,0.11550,1.500
11.7217,-11.8205,-6.53695,186.0000,0.11086,1.500
11.9346,-11.8730,-6.51312,186.2500,0.10592,1.500
12.1510,-11.9211,-6.49018,186.5000,0.10079,1.500
12.3709,-11.9647,-6.46815,186.7500,0.09553,1.500
12.5944,-12.0040,-6.44707,187.0000,0.09022,1.500
12.8213,-12.0392,-6.42697,187.2500,0.08490,1.500
13.0519,-12.0703,-6.40785,187.5000,0.07964,1.500
13.2859,-12.0975,-6.38973,187.7500,0.07447,1.500
13.5235,-12.1208,-6.37259,188.0000,0.06943,1.500
13.7645,-12.1404,-6.35644,188.2500,0.06454,1.500
14.0090,-12.1565,-6.34126,188.5000,0.05981,1.500
14.2568,-12.1691,-6.32703,188.7500,0.05527,1.500
14.5078,-12.1784,-6.31374,189.0000,0.05091,1.500
14.7621,-12.1846,-6.30138,189.2500,0.04674,1.500
15.0196,-12.1878,-6.28991,189.5000,0.04275,1.500
15.2800,-12.1881,-6.27932,189.7500,0.03894,1.500
15.5434,-12.1858,-6.26960,190.0000,0.03530,1.500
15.8095,-12.1810,-6.26071,190.2500,0.03183,1.500
16.0783,-12.1738,-6.25264,190.5000,0.02850,1.500
16.3496,-12.1645,-6.24537,190.7500,0.02532,1.500
16.6233,-12.1533,-6.23889,191.0000,0.02225,1.500
16.8991,-12.1402,-6.23319,191.2500,0.01930,1.500
17.1770,-12.1256,-6.22824,191.5000,0.01644,1.500
17.4567,-12.1096,-6.22405,191.7500,0.01366,1.500
17.7381,-12.0925,-6.22060,192.0000,0.01094,1.500
18.0209,-12.0744,-6.21789,192.2500,0.00827,1.500
18.3048,-12.0555,-6.21592,192.5000,0.00562,1.500
18.5898,-12.0361,-6.21469,192.7500,0.00299,1.500
18.8755,-12.0164,-6.21421,193.0000,0.00034,1.500
19.1617,-11.9967,-6.21448,193.2500,-0.00234,1.500
19.4481,-11.9771,-6.21552,193.5000,-0.00508,1.500
19.7345,-11.9579,-6.21736,193.7500,-0.00790,1.500
20.0206,-11.9394,-6.22000,194.0000,-0.01083,1.500
20.3060,-11.9218,-6.22349,194.2500,-0.01390,1.500
20.5905,-11.9054,-6.22785,194.5000,-0.01714,1.500
20.8738,-11.8905,-6.23313,194.7500,-0.02061,1.500
21.1555,-11.8772,-6.23939,195.0000,-0.02434,1.500
21.4353,-11.8660,-6.24666,195.2500,-0.02839,1.500
21.7129,-11.8570,-6.25504,195.5000,-0.03283,1.500
21.9878,-11.8505,-6.26459,195.7500,-0.03772,1.500
22.2598,-11.8469,-6.27542,196.0000,-0.04315,1.500
22.5285,-11.8464,-6.28763,196.2500,-0.04924,1.500
22.7934,-11.8493,-6.30134,196.5000,-0.05610,1.500
23.0541,-11.8560,-6.31671,196.7500,-0.06388,1.500
23.3103,-11.8668,-6.33390,197.0000,-0.07276,1.500
23.5616,-11.8819,-6.35311,197.2500,-0.08295,1.500
23.8074,-11.9017,-6.37457,197.5000,-0.09471,1.500
24.0474,-11.9266,-6.39854,197.7500,-0.10833,1.500
24.2811,-11.9567,-6.42532,198.0000,-0.12417,1.500
24.5081,-11.9926,-6.45527,198.2500,-0.14262,1.500
24.7279,-12.0345,-6.48878,198.5000,-0.16415,1.500
24.9399,-12.0828,-6.52630,198.7500,-0.18923,1.500
25.1438,-12.1378,-6.56833,199.0000,-0.21834,1.500
25.3390,-12.2000,-6.61543,199.2500,-0.22000,1.500
25.5250,-12.2696,-6.66817,199.5000,-0.22000,1.500
25.7013,-12.3470,-6.72714,199.7500,-0.22000,1.500
25.8673,-12.4326,-6.79286,200.0000,-0.22000,1.500
26.0226,-12.5268,-6.86576,200.2500,-0.22000,1.500
